Manufacturer,ASIN,Description
Dell,B07TTCXHRH,"Backpacks are commonly used by hikers and students. With the comfort-ability and functionality, the backpacks are used widely for many purposes. Multiple organizational compartments in a backpack help the users have access to necessary items any time. Backpacks come with adjustable straps for comfort and help carry weights.   The material of the fabric is sturdy, soft and durable which makes it perfect for bags. These bags are practical and can be stylish keeping in mind reliability and versatility. Soft material and easy-to-clean lining makes for the perfect backpack for kids or grownup of any age."
,B09D3YYYNG,"Harissons, established in 1959, is India's pioneer in the travel gear and luggage space. With a rich history of innovation and a commitment to excellence, we're confident that our F.I.R.E. (Functional. Innovative. Reliable. Ergonomic.) products will continue to set the standard for the industry for many years to come. So whether you're commuting to work, travelling the world, or just looking for a reliable storage solution, we've got you covered."
"VIP Industries Limited, DGP House,88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House,88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",B0B4DTMVXY,
Amazing Bags,B0BQFVH29F,
,B07N1CM9QS,
Encon Impex Pvt Ltd,B0B9WX3QD8,"Premium Quality , Affordable Rates   RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.   · Multi-functional Storage 3 in 1 Duffle Bag   · High Capacity with Separate Shoe Compartment   · Premium Material   • UPGRADED NIB & ULTRA-HIGH PRECISION   • PALM REJECTION - improved accuracy   • TILT FUNCTION & MAGNETIC ADSORPTION"
"Airish Fashion, Airish Fashion murad nagar Hyderabad 500028",B09PVCF9F8,"The 45ltrs bag accommodates a 15.65inch laptop easily. Also,  It comes with a 7kg cabin bag and becomes useful for students, professionals, and travelers.   The 3 large compartments with 1 small compartment along with mesh pockets on both sides help you carry plenty of stuff with ease. It is useful when you want to keep diverse items separately so you can easily find them.   The padded back as well as padded shoulder straps make the carrying of bag very easy. It becomes a great choice for backpack travelers.   The heavy-duty fabric delivers steady performance along with long life. It is also waterproof and harbors your belongings from inclement weather.   The feature-loaded 48x33x23xcm bag is useful for students, office-goers and travelers as it lets you pack and carry lots of stuff easily.   The combination of turquoise and black along with brand’s name in a groovy front gives a very eye-catching look to this bag."
OUT SHINY INDIA PVT LTD HP,B08FM6X8KZ,"With   comfort and functionality as priorities, lots of people now use backpacks for   their everyday commute — just throw it over your shoulders and you’re   hands-free. This backpack is designed to make travelling easier by getting   you where you're going without overloading you. It also helps keep you orby   providing organized space for your personal items.   The material Fabric   is sturdy, soft and durable which makes it perfect for bags. They can be   designed and colored to choices available. Soft material and easy-to-clean   lining makes for the perfect backpack for kids or grownup of any age."
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1C59R8,
AirCase,B07V47HHRG,"Zippered pockets on front side of bag allows to store other accessories like smartphone, power adapter, power cable, mouse, couple of pen, passport, powerbank, Key, credit cards etc.   Main compartment dedicated for laptop & iPad & Tablet padded with extra padding. It provide 360 degree protection to your devices.   Improved zipper & pulls design, seal up incredibly tight when zipped up.   Easy to carry with comfortable & convenient leather handle on top. It is retractable when not in use as shown above.   Made of nylon material which has spill-resistant surface. Protects your belongings from getting wet.   With the help of 3 layers it provides good quality padding of the main compartment. Insure 360 degree protection for your laptop and prevents from major impacts or bumps.   It allows to easily converts your messenger bag into handle sleeve.   It provides extra comfort while carrying heavy weight.   It allows the bag to be securely placed on a trolley when used for longer journeys or heavier loads.  
  Securely holds your keys and prevent from misplacing.   Zippered side pocket for half liter water bottle
or umbrella. Can be hide when not in use."
AB Amazing Bags,B09842K4RQ,"Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying the laptop inside, with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files, and all your day to day essentials. And the third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying.   This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This casual backpack comes with three spacious zippered compartments that can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks, and water bottle in this spacious bag and move around comfortably all day.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to provide the bag at lowest prices."
